bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
7.74896,6.50237,-8.63405,0.627319,0.492386,0,0,0,0.549,26,2.873,3.82994,6.07598,8.15141,6.29302,5.75634,5.12207,-3.31936,-11.1741,-13.6434,-6.19132,6.64145,12.1509,15.6976,-15.7612,
-9.38373,4.60182,3.31567,0.627421,0.332094,0,0,0,0.392,27,2.78992,3.33711,0.688577,5.32956,-2.92098,-0.323706,11.6253,15.0204,-9.39586,6.04442,-5.12268,4.29547,8.9992,15.2532,-5.79865,
-5.2156,5.97444,-10.943,0.627713,0.348928,0,0,0,0.412,28,1.61985,1.90275,4.53131,1.68883,12.8248,0.217327,15.0388,-1.92047,-1.28294,0.51024,-9.94651,9.98626,9.37184,11.5348,-15.5678,
6.04772,9.49891,7.23874,0.627718,0.497538,0,0,0,0.686,29,6.1793,2.23206,1.1228,-3.635,13.6854,-6.03121,5.66552,-10.6693,-15.9947,-6.17431,-13.5062,-1.44783,8.49838,8.59775,-15.4976,
4.0125,7.76693,5.5719,0.627617,0.505341,0,0,0,0.745,30,3.48688,1.16236,1.0093,0.871739,14.6029,-4.13772,3.92054,-3.96869,-15.9828,-7.09217,-9.09836,3.63921,4.30582,15.867,-14.8851,
2.41199,-4.79414,4.78971,0.627641,0.580518,0,0,0,1.0,31,7.53395,1.96922,1.34854,-7.34043,16,-0.661181,8.18344,7.52259,-9.87569,-0.501575,-2.99116,-1.66946,4.14514,15.7002,-6.25547,
4.44276,8.60807,-13.2619,0.624928,0.417708,0,0,0,0.451,32,6.62784,4.81836,7.43014,-6.9418,10.2007,8.71234,12.1333,-1.47991,-2.21621,-5.65543,-11.7987,6.36786,7.11856,14.8678,-15.7215,
10.4693,0.467663,-6.65452,0.627766,0.245747,0,0,0,0.255,33,3.94307,0.501006,2.89575,-4.65921,-3.36231,-11.3831,-3.17567,10.4514,2.66906,-12.684,-7.09186,8.12913,-0.00898025,1.70331,-15.9567,
10.6285,4.98731,-14.079,0.627283,0.38201,0,0,0,0.314,34,2.9814,4.49374,4.53217,-9.02654,3.50383,3.33571,11.029,0.345075,-0.940652,-15.8903,-3.72585,13.3096,-2.70247,15.8972,-13.6789,
10.5533,2.75776,-10.5348,0.627383,0.467145,0,0,0,0.471,35,4.45298,3.31847,5.03816,9.15876,10.561,5.37774,-8.25699,-5.1234,-12.7183,-12.6953,-3.57952,9.40516,15.716,15.0554,-15.9058,
